Liste deutscher Kinderbuchautoren im 20. Jahrhundert.;;;
;;;
;;;
Nachname;Vorname;Geburtsjahr;Todesjahr
;;;
Abraham;Peter;1936;2015
Aichner;Fridolin;1912;1987
Alexander-Burgh;Eberhard;1929;2004
Allfrey;Katherine;1910;2001
Axt ;Maria;1926;1986
Axt ;Renate;1934;2016
Böseke;Harry;1950;2015
Bannenberg;Alfredo;1901;1978
Borchers;Elisabeth;1926;2013
Bartor-Höppner;Barbara;1923;2006
Brändle;Alexander;1923;1984
Baumann;Hans;1914;1988
Braumann;Franz;1910;2003
Braun;Günter;1928;2008
Braun;Johanna;1929;2008
Bayer;Ingeborg;1927;2017
Becker;Antoinette;1920;1998
Betke;Lotte;1905;2008
Brückner;Christine;1921;1996
Beuchler;Klaus;1926;1992
Bieniek;Christian;1956;2005
Bodden;Ilona;1940;1985
Czerwenka;Rudi;1927;2017
Dierks;Martina;1953;2012
David;Kurt;1924;1994
Denneborg;Heinrich Maria;1909;1987
Ekker;Ernst A.;1937;1999
Ende;Michael;1929;1995
Ecke;Wolfgang;1927;1983
Engelhardt;Ingeborg;1904;1990
Fährmann;Willi;1929;2017
Feid;Anatol;1942;2002
Feustel;Günter;1924;2011
Feustel;Ingeborg;1926;1998
Fromme-Bechem;Annemarie;1909;1992
Fuchshuber;Annegert;1940;1998
Fischer;Marie Louise;1922;2005
Flegel;Walter;1934;2011
Fühmann;Franz;1922;1984
Görlich;Günter;1928;2010
Gast;Lise;1908;1988
Geelhaar;Anne;1914;1998
Gernhardt;Robert;1937;2006
Gode;Götz;1905;1969
von der Grün;Max;1926;2005
Grund;Josef Carl;1920;1999
Guggenmos;Josef Carl;1922;2003
Hacks;Peter;1928;2003
Hardel;Gerhard;1912;1984
Hardel;Lilo;1914;1999
Hartenstein;Elisabeth;1900;1994
